,index,Fos_puncta_adj,Gad2_puncta_adj,IL34_puncta_adj,fos_status,cell_type,animal_id,image_number
40,D05_A01_G003_0001.xls,8.925673305816337,36.51411806924865,7.30282361384973,fos+,Gad2,D05,3
41,D05_A01_G003_0001.xls,10.751098839535551,4.031662064825833,8.063324129651665,fos+,VGlut1,D05,3
42,D05_A01_G003_0001.xls,9.937789492367687,0.0,12.422236865459608,fos+,VGlut1,D05,3
43,D05_A01_G003_0001.xls,21.36983456899428,0.0,19.945178931061328,fos+,VGlut1,D05,3
44,D05_A01_G003_0001.xls,18.1442107049625,46.87254432115312,7.5600877937343745,fos+,Gad2,D05,3
45,D05_A01_G003_0001.xls,23.745750033950454,37.99320005432072,0.0,fos+,Gad2,D05,3
46,D05_A01_G003_0001.xls,9.960555979461459,3.984222391784584,17.92900076303063,fos+,VGlut1,D05,3
47,D05_A01_G003_0001.xls,20.238872387799063,0.0,18.88961422861246,fos+,VGlut1,D05,3
50,D05_A01_G003_0001.xls,14.90194562527073,0.0,12.418288021058942,fos+,VGlut1,D05,3
52,D05_A01_G003_0001.xls,9.392065077524583,10.733788660028093,9.392065077524583,fos+,Gad2,D05,3
54,D05_A01_G003_0001.xls,8.258320091156047,3.303328036462419,6.606656072924838,fos+,VGlut1,D05,3
56,D05_A01_G003_0001.xls,20.26545292808539,0.0,10.728769197221679,fos+,VGlut1,D05,3
58,D05_A01_G003_0001.xls,5.561928693147895,3.476205433217434,9.03813412636533,fos-,VGlut1,D05,3
59,D05_A01_G003_0001.xls,9.528392132533863,0.0,8.33734311596713,fos+,VGlut1,D05,3
60,D05_A01_G003_0001.xls,7.762787179569618,34.37805750952259,11.08969597081374,fos+,Gad2,D05,3
61,D05_A01_G003_0001.xls,28.05585578657474,0.0,11.477395549053302,fos+,VGlut1,D05,3
64,D05_A01_G003_0001.xls,13.906567843598244,0.0,17.996734856421256,fos+,VGlut1,D05,3
65,D05_A01_G003_0001.xls,7.562042534273814,36.297804164514304,12.0992680548381,fos+,Gad2,D05,3
66,D05_A01_G003_0001.xls,22.620663314967466,0.0,15.477295952346159,fos+,VGlut1,D05,3
67,D05_A01_G003_0001.xls,15.308488303687405,13.121561403160632,14.579512670178481,fos+,Gad2,D05,3
0,D05_A01_G004_0001.xls,0.0,0.0,20.73273200311801,fos-,VGlut1,D05,4
